playlist,name,name_url,artist,album,year,album_art,genres,playcount
liked songs,Do You Remember,https://open.spotify.com/track/1F2VIrr9oh7MwkI3NyLtHJ,Jarryd James,High,2016,https://i.scdn.co/image/ab67616d0000b27372ed30080466f2ce88ba2602,"['australian', 'All', 'indie pop']",237711
liked songs,America,https://open.spotify.com/track/0gSOZ2CH1PJXPraaS3NGZo,M83,"Dead Cities, Red Seas & Lost Ghosts",2003,https://i.scdn.co/image/ab67616d0000b273fa9dda724cb8307177da49f0,"['electronic', 'shoegaze', 'post-rock']",3370663
liked songs,Heaven Knows I'm Miserable Now - 2011 Remaster,https://open.spotify.com/track/1H5N26VqHR4JhuaRKY2I0u,The Smiths,Louder Than Bombs,1987,https://i.scdn.co/image/ab67616d0000b273ed3953f8af1f764a146b7583,"['post-punk', 'indie', 'new wave']",4740779
liked songs,Love You Like A Love Song,https://open.spotify.com/track/0laYHRpNTS6i8FXdupHkJ4,Selena Gomez & The Scene,When The Sun Goes Down,2011,https://i.scdn.co/image/ab67616d0000b2731c8193de8d62b2ffa49a09db,[],0
liked songs,Fix You,https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q,Coldplay,X&Y,2005,https://i.scdn.co/image/ab67616d0000b2734e0362c225863f6ae2432651,"['rock', 'alternative', 'britpop']",8738114
liked songs,I'll Keep Coming,https://open.spotify.com/track/5Pf5HwjqLAbYDVBQU7H7Oz,Low Roar,0,2014,https://i.scdn.co/image/ab67616d0000b273ae859022b02dfe42b2c7a04d,"['ambient', 'indie', 'folk']",399153
liked songs,We Own The Sky,https://open.spotify.com/track/44jJCNW8frQLEWpYuAQz47,M83,Saturdays = Youth,2008,https://i.scdn.co/image/ab67616d0000b2739b4275c2e7153d19d45884fa,"['electronic', 'shoegaze', 'post-rock']",3370663
liked songs,Too Late,https://open.spotify.com/track/42dQ7b6T6zjTjndfzCY2Mo,M83,Saturdays = Youth,2008,https://i.scdn.co/image/ab67616d0000b2739b4275c2e7153d19d45884fa,"['electronic', 'shoegaze', 'post-rock']",3370663
liked songs,In a Week - Live From Spotify London,https://open.spotify.com/track/2b7aqGkXjVARTFcA0ivbjZ,Hozier,Spotify Sessions London,2014,https://i.scdn.co/image/ab67616d0000b273a83302bd4220383f1b3c863d,"['blues', 'indie', 'soul']",3129212
liked songs,Something Just Like This,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,Memories...Do Not Open,2017,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,"['electronic', 'pop', 'House']",2560836
liked songs,The Way,https://open.spotify.com/track/3JnQth6rdt2s9PXtHQMW1E,Zack Hemsey,The Way,2011,https://i.scdn.co/image/ab67616d0000b273ad23694f5312acca60c1c2cb,"['Soundtrack', 'orchestral', 'Classical']",172791
liked songs,In the Woods Somewhere,https://open.spotify.com/track/5Pkn31exSVgFbfDAH961QC,Hozier,Hozier (Expanded Edition),2014,https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2,"['blues', 'indie', 'soul']",3129212
liked songs,Run,https://open.spotify.com/track/2AEKTA8tQnXUullpmN8NkL,Hozier,Hozier (Expanded Edition),2014,https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2,"['blues', 'indie', 'soul']",3129212
